	Mpolymorpha_320_v3.1.protein.primary	Niben101_annotation.proteins
OG0003407	Mapoly0009s0063.1.p	Niben101Scf02549g03006.1, Niben101Scf04563g03006.1
OG0003408	Mapoly0009s0095.1.p	Niben101Scf00239g07005.1, Niben101Scf06109g00001.1
OG0003409	Mapoly0009s0041.1.p	Niben101Scf03435g02021.1, Niben101Scf04332g00003.1
OG0003410	Mapoly0009s0217.1.p	Niben101Scf03263g02006.1, Niben101Scf04172g02016.1
OG0003411	Mapoly0009s0086.1.p	Niben101Scf05620g03016.1, Niben101Scf08127g00005.1
OG0003412	Mapoly0009s0186.1.p	Niben101Scf01025g13016.1, Niben101Scf14877g01013.1
OG0003413	Mapoly0009s0066.1.p	Niben101Scf03488g06007.1, Niben101Scf07498g02004.1
OG0003414	Mapoly0106s0017.1.p	Niben101Scf00039g01010.1, Niben101Scf00293g07013.1
OG0003415	Mapoly0106s0048.1.p	Niben101Scf06626g02007.1, Niben101Scf10048g02005.1
OG0003416	Mapoly0106s0030.1.p	Niben101Ctg14932g00002.1, Niben101Scf16106g00001.1
OG0003417	Mapoly0106s0042.1.p	Niben101Scf02285g01027.1, Niben101Scf03114g07010.1
OG0003418	Mapoly0106s0006.1.p	Niben101Scf00271g02013.1, Niben101Scf03969g06002.1
OG0003419	Mapoly0106s0035.1.p	Niben101Scf00430g02009.1, Niben101Scf13527g00014.1
OG0003420	Mapoly0106s0043.1.p	Niben101Scf01061g08014.1, Niben101Scf01395g00005.1
OG0003421	Mapoly0054s0112.1.p	Niben101Scf00332g01013.1, Niben101Scf04276g01006.1
OG0003422	Mapoly0054s0065.1.p	Niben101Scf01154g19004.1, Niben101Scf03280g01022.1
OG0003423	Mapoly0054s0047.1.p	Niben101Scf00369g08010.1, Niben101Scf13703g00008.1
OG0003424	Mapoly0054s0003.1.p	Niben101Scf00714g08010.1, Niben101Scf08533g00006.1
OG0003425	Mapoly0054s0011.1.p	Niben101Scf01964g01008.1, Niben101Scf14977g00026.1
OG0003426	Mapoly0054s0075.1.p	Niben101Scf01568g01016.1, Niben101Scf06761g01034.1
OG0003427	Mapoly0054s0108.1.p	Niben101Scf07423g00005.1, Niben101Scf07933g01011.1
OG0003428	Mapoly0054s0102.1.p	Niben101Scf06956g00001.1, Niben101Scf07428g02016.1
OG0003429	Mapoly0054s0060.1.p	Niben101Scf01157g02002.1, Niben101Scf05669g02009.1
OG0003430	Mapoly0012s0139.1.p	Niben101Scf04082g02002.1, Niben101Scf09597g00012.1
OG0003431	Mapoly0012s0169.1.p	Niben101Scf03351g02004.1, Niben101Scf09197g00003.1
OG0003432	Mapoly0012s0020.1.p	Niben101Scf04173g03010.1, Niben101Scf05190g02005.1
OG0003433	Mapoly0012s0178.1.p	Niben101Scf00261g00005.1, Niben101Scf01418g02009.1
OG0003434	Mapoly0012s0094.1.p	Niben101Scf04113g05022.1, Niben101Scf06171g02035.1
OG0003435	Mapoly0012s0153.1.p	Niben101Scf00023g05010.1, Niben101Scf05692g04001.1
OG0003436	Mapoly0012s0119.1.p, Mapoly0012s0120.1.p	Niben101Scf14717g00010.1
OG0003437	Mapoly0012s0022.1.p	Niben101Scf07006g00009.1, Niben101Scf15049g00024.1
OG0003438	Mapoly0012s0134.1.p	Niben101Scf00367g02013.1, Niben101Scf02525g04006.1
OG0003439	Mapoly0012s0195.1.p	Niben101Scf05855g03007.1, Niben101Scf30092g00004.1
OG0003440	Mapoly0012s0146.1.p	Niben101Scf04977g00004.1, Niben101Scf10927g00023.1
OG0003441	Mapoly0012s0170.1.p	Niben101Scf00271g09022.1, Niben101Scf05283g00018.1
OG0003442	Mapoly0012s0041.1.p	Niben101Scf02929g05087.1, Niben101Scf09153g05023.1
OG0003443	Mapoly0012s0180.1.p	Niben101Scf12983g01054.1, Niben101Scf21813g00008.1
OG0003444	Mapoly0012s0011.1.p	Niben101Scf02772g07004.1, Niben101Scf09372g01008.1
OG0003445	Mapoly0012s0016.1.p	Niben101Scf01496g00007.1, Niben101Scf14877g00006.1
OG0003446	Mapoly0012s0096.1.p	Niben101Scf05720g01002.1, Niben101Scf05931g03004.1
OG0003447	Mapoly0012s0102.1.p	Niben101Scf00723g00011.1, Niben101Scf00783g02006.1
OG0003448	Mapoly0012s0208.1.p	Niben101Scf03676g02012.1, Niben101Scf05339g00005.1
OG0003449	Mapoly0012s0126.1.p	Niben101Scf01476g00008.1, Niben101Scf14122g00014.1
OG0003450	Mapoly0012s0034.1.p	Niben101Scf00576g00009.1, Niben101Scf08516g03011.1
OG0003451	Mapoly0012s0162.1.p	Niben101Scf09116g04022.1, Niben101Scf09792g02022.1
OG0003452	Mapoly0011s0124.1.p	Niben101Scf00182g03011.1, Niben101Scf08233g00003.1
OG0003453	Mapoly0011s0039.1.p	Niben101Scf02115g01004.1, Niben101Scf06778g01005.1
OG0003454	Mapoly0011s0012.1.p	Niben101Scf01656g00009.1, Niben101Scf03768g03011.1
OG0003455	Mapoly0011s0070.1.p	Niben101Scf03687g01001.1, Niben101Scf03687g01012.1
OG0003456	Mapoly0011s0060.1.p	Niben101Scf01253g02001.1, Niben101Scf04740g00006.1
OG0003457	Mapoly0011s0156.1.p	Niben101Scf00270g13016.1, Niben101Scf03169g05007.1
OG0003458	Mapoly0011s0135.1.p	Niben101Scf00177g11013.1, Niben101Scf05316g03010.1
OG0003459	Mapoly0011s0081.1.p	Niben101Scf04551g04012.1, Niben101Scf16622g01020.1
OG0003460	Mapoly0011s0185.1.p	Niben101Scf01396g07022.1, Niben101Scf02944g02001.1
OG0003461	Mapoly0011s0084.1.p	Niben101Scf02849g01004.1, Niben101Scf07817g01006.1
OG0003462	Mapoly0011s0027.1.p	Niben101Scf01105g04004.1, Niben101Scf04375g01011.1
OG0003463	Mapoly0011s0177.1.p	Niben101Scf04939g01007.1, Niben101Scf15067g00003.1
OG0003464	Mapoly0011s0153.1.p	Niben101Scf02139g04017.1, Niben101Scf37900g00009.1
OG0003465	Mapoly0011s0013.1.p	Niben101Scf01486g04010.1, Niben101Scf34386g00009.1
OG0003466	Mapoly0011s0138.1.p	Niben101Scf02031g05009.1, Niben101Scf13346g00003.1
OG0003467	Mapoly0011s0103.1.p	Niben101Scf03735g03015.1, Niben101Scf06267g03024.1
OG0003468	Mapoly0011s0050.1.p	Niben101Scf02289g10015.1, Niben101Scf06043g01001.1
OG0003469	Mapoly0011s0030.1.p	Niben101Scf00370g04010.1, Niben101Scf02345g00006.1
OG0003470	Mapoly0011s0106.1.p	Niben101Scf00714g00007.1, Niben101Scf02669g02015.1
OG0003471	Mapoly0011s0047.1.p	Niben101Scf04730g01023.1, Niben101Scf08072g00015.1
OG0003472	Mapoly0011s0105.1.p	Niben101Scf01721g10013.1, Niben101Scf02868g05007.1
OG0003473	Mapoly0011s0174.1.p	Niben101Scf03255g02009.1, Niben101Scf05374g01014.1
OG0003474	Mapoly0011s0067.1.p	Niben101Scf05692g07035.1, Niben101Scf11895g03016.1
OG0003475	Mapoly0011s0058.1.p	Niben101Scf01787g00033.1, Niben101Scf06817g00017.1
OG0003476	Mapoly0011s0097.1.p	Niben101Scf02575g01001.1, Niben101Scf05135g04002.1
OG0003477	Mapoly0011s0206.1.p	Niben101Scf00793g07009.1, Niben101Scf04232g00006.1
OG0003478	Mapoly0011s0077.1.p	Niben101Scf06516g04016.1, Niben101Scf08527g01009.1
OG0003479	Mapoly0011s0011.1.p	Niben101Scf06725g01015.1, Niben101Scf12472g00003.1
OG0003480	Mapoly0011s0121.1.p	Niben101Scf01661g01008.1, Niben101Scf06388g00001.1
OG0003481	Mapoly0011s0120.1.p	Niben101Scf02077g12027.1, Niben101Scf15645g00005.1
OG0003482	Mapoly0011s0205.1.p	Niben101Scf00868g00005.1, Niben101Scf04995g04005.1
OG0003483	Mapoly0011s0196.1.p	Niben101Scf02757g04003.1, Niben101Scf02757g04025.1
OG0003484	Mapoly0011s0141.1.p	Niben101Scf00219g01004.1, Niben101Scf02367g00003.1
OG0003485	Mapoly0011s0161.1.p	Niben101Scf00069g12011.1, Niben101Scf01477g01009.1
OG0003486	Mapoly0011s0187.1.p	Niben101Scf02756g01008.1, Niben101Scf07428g00010.1
OG0003487	Mapoly0011s0038.1.p	Niben101Scf02475g02004.1, Niben101Scf04038g01004.1
OG0003488	Mapoly0011s0171.1.p	Niben101Scf01983g01021.1, Niben101Scf04741g04002.1
OG0003489	Mapoly0011s0109.1.p	Niben101Ctg15582g00001.1, Niben101Scf09211g00005.1
OG0003490	Mapoly0028s0106.1.p	Niben101Scf03595g19032.1, Niben101Scf06050g01007.1
OG0003491	Mapoly0028s0049.1.p	Niben101Scf00856g02002.1, Niben101Scf03245g08001.1
OG0003492	Mapoly0028s0034.1.p	Niben101Scf00737g01007.1, Niben101Scf02063g01002.1
OG0003493	Mapoly0028s0023.1.p	Niben101Scf01070g00007.1, Niben101Scf07690g00015.1
OG0003494	Mapoly0028s0094.1.p	Niben101Scf01444g02009.1, Niben101Scf14010g01001.1
OG0003495	Mapoly0028s0047.1.p	Niben101Scf01443g00004.1, Niben101Scf38401g00005.1
OG0003496	Mapoly0028s0109.1.p	Niben101Scf02659g02009.1, Niben101Scf03670g04020.1
OG0003497	Mapoly0028s0084.1.p	Niben101Scf01553g01001.1, Niben101Scf16082g00007.1
OG0003498	Mapoly0028s0037.1.p	Niben101Scf01773g03005.1, Niben101Scf07977g03015.1
OG0003499	Mapoly0028s0045.1.p	Niben101Scf02869g02006.1, Niben101Scf07823g00026.1
OG0003500	Mapoly0028s0124.1.p	Niben101Scf00124g00012.1, Niben101Scf16939g00007.1
OG0003501	Mapoly0028s0131.1.p	Niben101Ctg15774g00002.1, Niben101Scf00920g05006.1
OG0003502	Mapoly0028s0139.1.p	Niben101Scf04994g00005.1, Niben101Scf07991g03005.1
OG0003503	Mapoly0028s0104.1.p	Niben101Scf03175g01013.1, Niben101Scf11103g01014.1
OG0003504	Mapoly0028s0137.1.p	Niben101Scf05552g07002.1, Niben101Scf34323g00005.1
OG0003505	Mapoly0028s0071.1.p	Niben101Scf01148g00007.1, Niben101Scf05961g02036.1
OG0003506	Mapoly0028s0107.1.p	Niben101Scf02269g02002.1, Niben101Scf03860g01010.1
OG0003507	Mapoly0028s0026.1.p	Niben101Scf00920g01005.1, Niben101Scf01687g01011.1
OG0003508	Mapoly0028s0080.1.p	Niben101Scf01623g18005.1, Niben101Scf02693g01013.1
OG0003509	Mapoly0028s0143.1.p	Niben101Scf02444g00035.1, Niben101Scf04614g01002.1
OG0003510	Mapoly0028s0053.1.p	Niben101Scf01393g01003.1, Niben101Scf05633g00015.1
OG0003511	Mapoly0028s0032.1.p	Niben101Scf00144g03005.1, Niben101Scf07850g05012.1
OG0003512	Mapoly0028s0021.1.p	Niben101Scf00593g04018.1, Niben101Scf05166g06001.1
OG0003513	Mapoly0028s0145.1.p	Niben101Scf00381g07022.1, Niben101Scf06077g03002.1
OG0003514	Mapoly0198s0012.1.p	Niben101Scf00035g01012.1, Niben101Scf05721g01002.1
OG0003515	Mapoly0060s0103.1.p	Niben101Scf00398g07006.1, Niben101Scf05294g00034.1
OG0003516	Mapoly0060s0110.1.p	Niben101Scf08653g07014.1, Niben101Scf08675g00020.1
OG0003517	Mapoly0060s0043.1.p	Niben101Scf03309g08026.1, Niben101Scf10219g00027.1
OG0003518	Mapoly0060s0007.1.p	Niben101Scf00573g05013.1, Niben101Scf01694g02002.1
OG0003519	Mapoly0060s0033.1.p	Niben101Scf01328g01013.1, Niben101Scf01517g07011.1
OG0003520	Mapoly0060s0071.1.p	Niben101Scf01066g05013.1, Niben101Scf14374g00001.1
OG0003521	Mapoly0060s0060.1.p	Niben101Scf06397g00015.1, Niben101Scf20596g00004.1
OG0003522	Mapoly0060s0018.1.p	Niben101Scf00793g09007.1, Niben101Scf04232g00017.1
OG0003523	Mapoly0060s0008.1.p	Niben101Scf01402g02031.1, Niben101Scf06280g02001.1
OG0003524	Mapoly0060s0085.1.p	Niben101Scf00683g03043.1, Niben101Scf08574g00001.1
OG0003525	Mapoly0060s0011.1.p	Niben101Scf03488g06006.1, Niben101Scf07498g02003.1
OG0003526	Mapoly0060s0072.1.p	Niben101Scf02132g02007.1, Niben101Scf02563g06017.1
OG0003527	Mapoly0060s0020.1.p	Niben101Scf00005g01008.1, Niben101Scf05969g01002.1
OG0003528	Mapoly0060s0031.1.p	Niben101Scf05937g01004.1, Niben101Scf13201g00001.1
OG0003529	Mapoly0060s0059.1.p	Niben101Scf03482g00011.1, Niben101Scf19623g00018.1
OG0003530	Mapoly0060s0041.1.p	Niben101Scf00528g00011.1, Niben101Scf06080g04018.1
OG0003531	Mapoly0075s0087.1.p	Niben101Scf04558g00011.1, Niben101Scf07326g00005.1
OG0003532	Mapoly0075s0082.1.p	Niben101Scf09456g00017.1, Niben101Scf14070g00004.1
OG0003533	Mapoly0075s0046.1.p	Niben101Scf03169g02005.1, Niben101Scf11552g02006.1
OG0003534	Mapoly0075s0073.1.p	Niben101Scf01230g01013.1, Niben101Scf33179g00010.1
OG0003535	Mapoly0075s0084.1.p	Niben101Scf02339g00005.1, Niben101Scf16678g00012.1
OG0003536	Mapoly0075s0048.1.p	Niben101Scf02816g07016.1, Niben101Scf09977g00011.1
OG0003537	Mapoly0075s0039.1.p	Niben101Scf00449g05023.1, Niben101Scf07650g02007.1
OG0003538	Mapoly0075s0060.1.p	Niben101Scf00739g03001.1, Niben101Scf01240g05006.1
OG0003539	Mapoly0075s0033.1.p	Niben101Scf01512g06005.1, Niben101Scf15047g00005.1
OG0003540	Mapoly0075s0045.1.p	Niben101Scf01463g01013.1, Niben101Scf04219g00001.1
OG0003541	Mapoly0075s0071.1.p	Niben101Scf00492g04001.1, Niben101Scf01578g04001.1
OG0003542	Mapoly0075s0019.1.p	Niben101Scf00927g10001.1, Niben101Scf00984g03008.1
OG0003543	Mapoly0075s0062.1.p	Niben101Scf00372g02010.1, Niben101Scf05938g01018.1
OG0003544	Mapoly0075s0044.1.p	Niben101Scf02108g03016.1, Niben101Scf06687g01011.1
OG0003545	Mapoly0075s0057.1.p	Niben101Scf02156g05001.1, Niben101Scf04964g00002.1
OG0003546	Mapoly0160s0023.1.p	Niben101Scf01291g01011.1, Niben101Scf01451g06002.1
OG0003547	Mapoly0160s0011.1.p	Niben101Scf03254g03002.1, Niben101Scf11232g00024.1
OG0003548	Mapoly0160s0027.1.p	Niben101Scf00005g01013.1, Niben101Scf05969g00011.1
OG0003549	Mapoly0160s0010.1.p	Niben101Scf04763g00007.1, Niben101Scf06026g00009.1
OG0003550	Mapoly0160s0024.1.p	Niben101Scf00321g05002.1, Niben101Scf06203g02008.1
OG0003551	Mapoly0080s0010.1.p, Mapoly0160s0022.1.p	Niben101Scf00735g06024.1
OG0003552	Mapoly1406s0001.1.p	Niben101Scf03068g00004.1, Niben101Scf17923g00001.1
OG0003553	Mapoly0213s0004.1.p	Niben101Scf03918g00001.1, Niben101Scf09178g01015.1
OG0003554	Mapoly0213s0012.1.p	Niben101Scf02357g07011.1, Niben101Scf05467g00022.1
OG0003555	Mapoly0096s0044.1.p	Niben101Scf00887g03009.1, Niben101Scf08137g01039.1
OG0003556	Mapoly0096s0005.1.p	Niben101Scf05645g00005.1, Niben101Scf13676g02009.1
OG0003557	Mapoly0096s0022.1.p	Niben101Scf01917g11028.1, Niben101Scf19277g00017.1
OG0003558	Mapoly0096s0061.1.p	Niben101Scf01063g03008.1, Niben101Scf03326g02001.1
OG0003559	Mapoly0096s0064.1.p	Niben101Scf00691g02025.1, Niben101Scf06564g00003.1
OG0003560	Mapoly0096s0065.1.p	Niben101Scf04312g00010.1, Niben101Scf18047g00001.1
OG0003561	Mapoly0096s0015.1.p	Niben101Scf03104g02012.1, Niben101Scf07790g03022.1
OG0003562	Mapoly0096s0024.1.p	Niben101Scf03460g05015.1, Niben101Scf07182g04009.1
OG0003563	Mapoly0096s0066.1.p	Niben101Scf01212g02028.1, Niben101Scf01623g18040.1
OG0003564	Mapoly0096s0060.1.p	Niben101Scf02116g00011.1, Niben101Scf07616g02006.1
OG0003565	Mapoly0096s0033.1.p	Niben101Scf02133g04009.1, Niben101Scf02335g02003.1
OG0003566	Mapoly0096s0050.1.p	Niben101Scf00872g03004.1, Niben101Scf03150g05001.1
OG0003567	Mapoly0096s0047.1.p	Niben101Scf00338g10001.1, Niben101Scf06825g01019.1
OG0003568	Mapoly0096s0016.1.p	Niben101Scf01001g07020.1, Niben101Scf05519g02007.1
OG0003569	Mapoly0096s0048.1.p	Niben101Scf02318g05003.1, Niben101Scf04745g07012.1
OG0003570	Mapoly0069s0064.1.p	Niben101Scf00509g04007.1, Niben101Scf11616g00008.1
OG0003571	Mapoly0069s0083.1.p	Niben101Scf01150g01004.1, Niben101Scf03989g02014.1
OG0003572	Mapoly0069s0035.1.p	Niben101Scf08001g01004.1, Niben101Scf11496g01003.1
OG0003573	Mapoly0069s0079.1.p	Niben101Scf00163g08019.1, Niben101Scf04926g04006.1
OG0003574	Mapoly0069s0072.1.p	Niben101Scf00220g05001.1, Niben101Scf06216g01014.1
OG0003575	Mapoly0069s0066.1.p	Niben101Scf00454g02004.1, Niben101Scf12127g00006.1
OG0003576	Mapoly0069s0014.1.p	Niben101Scf04177g02016.1, Niben101Scf10086g01005.1
OG0003577	Mapoly0069s0067.1.p	Niben101Scf01232g05001.1, Niben101Scf01791g02013.1
OG0003578	Mapoly0069s0010.1.p	Niben101Scf02854g09009.1, Niben101Scf08465g02001.1
OG0003579	Mapoly0069s0031.1.p	Niben101Scf02510g05028.1, Niben101Scf07284g02002.1
OG0003580	Mapoly0069s0011.1.p	Niben101Scf00276g02010.1, Niben101Scf03403g03016.1
OG0003581	Mapoly0069s0077.1.p	Niben101Scf01684g02015.1, Niben101Scf10743g05006.1
OG0003582	Mapoly0069s0022.1.p	Niben101Scf01634g07028.1, Niben101Scf07089g02018.1
OG0003583	Mapoly0069s0060.1.p	Niben101Ctg09569g00003.1, Niben101Ctg09587g00004.1
OG0003584	Mapoly0081s0058.1.p	Niben101Scf08390g06006.1, Niben101Scf09238g02007.1
OG0003585	Mapoly0081s0053.1.p	Niben101Scf02621g01002.1, Niben101Scf24482g00006.1
OG0003586	Mapoly0081s0024.1.p	Niben101Scf10329g03023.1, Niben101Scf13571g00012.1
OG0003587	Mapoly0081s0073.1.p	Niben101Scf03739g02013.1, Niben101Scf16206g00012.1
OG0003588	Mapoly0081s0071.1.p	Niben101Scf02215g01016.1, Niben101Scf12830g00009.1
OG0003589	Mapoly0081s0079.1.p	Niben101Scf02243g01029.1, Niben101Scf09792g03014.1
OG0003590	Mapoly0081s0037.1.p	Niben101Scf00894g03002.1, Niben101Scf10375g01020.1
OG0003591	Mapoly0081s0081.1.p	Niben101Scf01789g03003.1, Niben101Scf11214g00007.1
OG0003592	Mapoly0123s0009.1.p	Niben101Scf05574g03001.1, Niben101Scf09987g00007.1
OG0003593	Mapoly0123s0029.1.p	Niben101Scf01374g11013.1, Niben101Scf10650g01006.1
OG0003594	Mapoly0123s0035.1.p	Niben101Scf04560g03023.1, Niben101Scf05890g02010.1
OG0003595	Mapoly0123s0005.1.p	Niben101Scf00005g01012.1, Niben101Scf05969g00009.1
OG0003596	Mapoly0123s0025.1.p	Niben101Scf03099g01003.1, Niben101Scf06734g02027.1
OG0003597	Mapoly0123s0014.1.p	Niben101Scf01025g08001.1, Niben101Scf05246g01010.1
OG0003598	Mapoly0123s0011.1.p	Niben101Scf00530g06015.1, Niben101Scf02511g06016.1
OG0003599	Mapoly0123s0032.1.p	Niben101Scf02730g01029.1, Niben101Scf03870g01008.1
OG0003600	Mapoly0159s0029.1.p	Niben101Scf04654g04001.1, Niben101Scf07162g03019.1
OG0003601	Mapoly0159s0009.1.p, Mapoly0183s0006.1.p	Niben101Scf05551g01006.1
OG0003602	Mapoly0159s0003.1.p	Niben101Scf02621g02023.1, Niben101Scf07648g01017.1
OG0003603	Mapoly0159s0013.1.p	Niben101Scf00446g02004.1, Niben101Scf03882g06016.1
OG0003604	Mapoly0159s0021.1.p	Niben101Scf02680g00003.1, Niben101Scf07792g02004.1
OG0003605	Mapoly0159s0020.1.p	Niben101Scf10919g01035.1, Niben101Scf39208g00009.1
OG0003606	Mapoly0159s0007.1.p	Niben101Scf01155g01008.1, Niben101Scf08637g01006.1
OG0003607	Mapoly0145s0024.1.p	Niben101Scf08533g01024.1, Niben101Scf15394g00006.1
OG0003608	Mapoly0145s0021.1.p	Niben101Scf01142g03003.1, Niben101Scf06190g02004.1
OG0003609	Mapoly0145s0019.1.p	Niben101Scf02049g03002.1, Niben101Scf04528g01010.1
OG0003610	Mapoly0145s0018.1.p	Niben101Scf00282g02013.1, Niben101Scf05552g10003.1
OG0003611	Mapoly0155s0022.1.p	Niben101Scf01899g02003.1, Niben101Scf02299g01011.1
OG0003612	Mapoly0155s0003.1.p	Niben101Scf04083g02001.1, Niben101Scf04156g01011.1
OG0003613	Mapoly0155s0008.1.p	Niben101Scf04731g03002.1, Niben101Scf06087g06001.1
OG0003614	Mapoly0155s0010.1.p	Niben101Scf01063g02018.1, Niben101Scf03326g03005.1
OG0003615	Mapoly0155s0005.1.p	Niben101Scf03492g02008.1, Niben101Scf06998g00017.1
OG0003616	Mapoly0077s0052.1.p	Niben101Scf03257g02001.1, Niben101Scf03949g06008.1
OG0003617	Mapoly0077s0021.1.p	Niben101Scf00980g07010.1, Niben101Scf06266g00009.1
OG0003618	Mapoly0077s0024.1.p	Niben101Scf04083g01003.1, Niben101Scf05154g01012.1
OG0003619	Mapoly0077s0063.1.p	Niben101Scf01718g09027.1, Niben101Scf02908g06009.1
OG0003620	Mapoly0077s0006.1.p	Niben101Scf05588g04010.1, Niben101Scf07035g07011.1
OG0003621	Mapoly0077s0013.1.p	Niben101Scf10299g00004.1, Niben101Scf10873g00008.1
OG0003622	Mapoly0077s0055.1.p	Niben101Scf01634g02020.1, Niben101Scf04411g01002.1
OG0003623	Mapoly0077s0007.1.p	Niben101Scf00894g01001.1, Niben101Scf13710g03014.1
OG0003624	Mapoly0169s0028.1.p	Niben101Scf03888g01020.1, Niben101Scf10608g00009.1
OG0003625	Mapoly0169s0013.1.p	Niben101Scf04001g06005.1, Niben101Scf08268g00011.1
OG0003626	Mapoly0169s0015.1.p	Niben101Scf03735g03014.1, Niben101Scf06267g02001.1
OG0003627	Mapoly0169s0021.1.p	Niben101Scf01641g00004.1, Niben101Scf02637g02014.1
OG0003628	Mapoly0169s0023.1.p	Niben101Scf02836g00008.1, Niben101Scf12695g00005.1
OG0003629	Mapoly0169s0020.1.p	Niben101Scf10556g00029.1, Niben101Scf12987g00006.1
OG0003630	Mapoly0015s0144.1.p	Niben101Scf06408g04006.1, Niben101Scf25396g00003.1
OG0003631	Mapoly0015s0138.1.p	Niben101Scf00769g00011.1, Niben101Scf04040g06006.1
OG0003632	Mapoly0015s0173.1.p	Niben101Scf00952g03005.1, Niben101Scf27243g00002.1
OG0003633	Mapoly0015s0011.1.p	Niben101Scf03371g02002.1, Niben101Scf04617g00010.1
OG0003634	Mapoly0015s0041.1.p	Niben101Scf03161g00007.1, Niben101Scf05422g00019.1
OG0003635	Mapoly0015s0105.1.p	Niben101Scf00163g03001.1, Niben101Scf08065g01018.1
OG0003636	Mapoly0015s0074.1.p	Niben101Scf03929g04002.1, Niben101Scf21348g00006.1
OG0003637	Mapoly0015s0039.1.p	Niben101Scf02289g10022.1, Niben101Scf14799g00001.1
OG0003638	Mapoly0015s0060.1.p	Niben101Scf01728g00004.1, Niben101Scf03856g03009.1
OG0003639	Mapoly0015s0081.1.p	Niben101Scf04804g03016.1, Niben101Scf09273g00004.1
OG0003640	Mapoly0015s0100.1.p	Niben101Scf00201g01002.1, Niben101Scf06902g00011.1
OG0003641	Mapoly0015s0045.1.p	Niben101Scf01579g01031.1, Niben101Scf03088g03004.1
OG0003642	Mapoly0015s0200.1.p	Niben101Scf03257g01005.1, Niben101Scf03949g06009.1
OG0003643	Mapoly0015s0043.1.p	Niben101Scf03410g04003.1, Niben101Scf17384g00004.1
OG0003644	Mapoly0015s0189.1.p	Niben101Scf04396g01011.1, Niben101Scf09234g03022.1
OG0003645	Mapoly0015s0188.1.p	Niben101Scf04287g05014.1, Niben101Scf09599g00014.1
OG0003646	Mapoly0015s0142.1.p	Niben101Scf04082g01004.1, Niben101Scf09597g01002.1
OG0003647	Mapoly0015s0148.1.p	Niben101Scf00218g04008.1, Niben101Scf10448g00018.1
OG0003648	Mapoly0015s0066.1.p	Niben101Scf00897g00001.1, Niben101Scf04174g06004.1
OG0003649	Mapoly0015s0158.1.p	Niben101Scf00119g02012.1, Niben101Scf01781g00009.1
OG0003650	Mapoly0015s0126.1.p	Niben101Scf04861g00027.1, Niben101Scf10889g00005.1
OG0003651	Mapoly0015s0174.1.p	Niben101Scf09115g00015.1, Niben101Scf33567g00018.1
OG0003652	Mapoly0015s0040.1.p	Niben101Scf00494g07016.1, Niben101Scf01292g01008.1
OG0003653	Mapoly0015s0082.1.p	Niben101Scf00653g00001.1, Niben101Scf04375g08027.1
OG0003654	Mapoly0015s0162.1.p	Niben101Scf00912g02003.1, Niben101Scf02648g04009.1
OG0003655	Mapoly0015s0117.1.p	Niben101Scf01676g01007.1, Niben101Scf05764g03006.1
OG0003656	Mapoly0015s0143.1.p	Niben101Scf04763g01015.1, Niben101Scf06026g01005.1
OG0003657	Mapoly0015s0151.1.p	Niben101Scf00577g02007.1, Niben101Scf02522g01005.1
OG0003658	Mapoly0015s0006.1.p	Niben101Scf02710g00011.1, Niben101Scf34798g00009.1
OG0003659	Mapoly0015s0194.1.p	Niben101Scf05373g02019.1, Niben101Scf10015g01016.1
OG0003660	Mapoly0015s0021.1.p	Niben101Scf00630g02003.1, Niben101Scf06375g02004.1
OG0003661	Mapoly0015s0012.1.p	Niben101Scf00317g09003.1, Niben101Scf09790g00013.1
OG0003662	Mapoly0015s0108.1.p	Niben101Scf01750g14026.1, Niben101Scf08515g00021.1
OG0003663	Mapoly0015s0192.1.p	Niben101Scf04422g00010.1, Niben101Scf05711g00021.1
OG0003664	Mapoly0015s0008.1.p	Niben101Scf05559g00001.1, Niben101Scf06819g03010.1
OG0003665	Mapoly0015s0078.1.p	Niben101Scf00063g05012.1, Niben101Scf13179g00003.1
OG0003666	Mapoly0015s0086.1.p	Niben101Scf03628g11005.1, Niben101Scf04669g00002.1
OG0003667	Mapoly0015s0191.1.p	Niben101Scf01740g10003.1, Niben101Scf06866g01012.1
OG0003668	Mapoly0015s0183.1.p	Niben101Scf05363g04005.1, Niben101Scf06682g00003.1
OG0003669	Mapoly0015s0204.1.p	Niben101Scf02059g06013.1, Niben101Scf12403g00010.1
OG0003670	Mapoly0015s0016.1.p	Niben101Scf00337g01007.1, Niben101Scf02632g06007.1
OG0003671	Mapoly0015s0031.1.p	Niben101Scf00551g01003.1, Niben101Scf01927g06013.1
OG0003672	Mapoly0015s0125.1.p	Niben101Scf03154g04006.1, Niben101Scf03253g02009.1
OG0003673	Mapoly0015s0197.1.p	Niben101Scf02007g05005.1, Niben101Scf05399g02004.1
OG0003674	Mapoly0118s0025.1.p	Niben101Scf01052g05008.1, Niben101Scf03038g06012.1
OG0003675	Mapoly0118s0013.1.p	Niben101Scf01249g01005.1, Niben101Scf04286g00018.1
OG0003676	Mapoly0118s0011.1.p	Niben101Scf02621g00019.1, Niben101Scf07648g01018.1
OG0003677	Mapoly0118s0019.1.p	Niben101Scf02653g04020.1, Niben101Scf03779g08016.1
OG0003678	Mapoly0118s0010.1.p	Niben101Scf02494g10012.1, Niben101Scf12414g02006.1
OG0003679	Mapoly0118s0004.1.p	Niben101Scf00777g04014.1, Niben101Scf04663g05019.1
